дата,категория,сумма,описание
2025-01-03,Аренда,85000,Аренда офиса январь
2025-01-05,Зарплата,210000,Зарплата команда январь
2025-01-07,IT,12500,Подписка GitHub Teams
2025-01-08,Маркетинг,35000,Таргетированная реклама ВК
2025-01-10,IT,8900,Хостинг VPS серверы
2025-01-12,Прочее,4200,Канцелярия и офисные расходы
2025-01-14,Маркетинг,18000,SEO-продвижение сайта
2025-01-15,IT,15000,Лицензия JetBrains
2025-01-17,Прочее,6500,Корпоративная мобильная связь
2025-01-20,Маркетинг,22000,Контент для соцсетей
2025-01-22,IT,9800,Облачное хранилище S3
2025-01-25,Прочее,3100,Курьерская доставка
2025-01-27,Маркетинг,41000,Яндекс.Директ январь
2025-01-29,IT,5500,Антивирусное ПО
2025-01-31,Прочее,7800,Коммунальные услуги офис
2025-02-03,Аренда,85000,Аренда офиса февраль
2025-02-05,Зарплата,215000,Зарплата команда февраль
2025-02-07,IT,12500,Подписка GitHub Teams
2025-02-09,Маркетинг,28000,Таргетированная реклама ВК
2025-02-10,IT,8900,Хостинг VPS серверы
2025-02-12,Прочее,5100,Канцелярия и кофе
2025-02-13,Маркетинг,16000,SEO-продвижение сайта
2025-02-14,IT,0,Лицензия JetBrains (уже оплачена)
2025-02-17,Прочее,6500,Корпоративная мобильная связь
2025-02-19,Маркетинг,33000,Контент + дизайн
2025-02-21,IT,9800,Облачное хранилище S3
2025-02-24,Маркетинг,55000,Яндекс.Директ февраль (акция)
2025-02-25,Прочее,2800,Курьерская доставка
2025-02-26,IT,18000,Новый домен + SSL сертификаты
2025-02-28,Прочее,7800,Коммунальные услуги офис
2025-03-03,Аренда,85000,Аренда офиса март
2025-03-05,Зарплата,225000,Зарплата команда март (повышение)
2025-03-06,IT,12500,Подписка GitHub Teams
2025-03-08,Маркетинг,42000,Таргетированная реклама ВК + Instagram
2025-03-10,IT,8900,Хостинг VPS серверы
2025-03-11,Прочее,3900,Канцелярия
2025-03-12,Маркетинг,16000,SEO-продвижение сайта
2025-03-14,IT,15000,Лицензия JetBrains
2025-03-15,Зарплата,45000,Премия ключевому разработчику
2025-03-17,Прочее,6500,Корпоративная мобильная связь
2025-03-19,Маркетинг,38000,Контент + видео
2025-03-20,IT,9800,Облачное хранилище S3
2025-03-21,Маркетинг,14000,Email-рассылка сервис
2025-03-22,IT,25000,Новый сервер (расширение)
2025-03-24,Маркетинг,47000,Яндекс.Директ март
2025-03-25,Прочее,2400,Курьерская доставка
2025-03-26,IT,4200,Мониторинг uptime сервисы
2025-03-27,Прочее,11000,Корпоратив команды
2025-03-28,Маркетинг,9500,Партнёрская интеграция
2025-03-29,Прочее,7800,Коммунальные услуги офис
2025-03-31,IT,6000,Backup-сервис годовая подписка
